from_id,AI,X,Y,CAL
"103046",1428.08684415555,524545,184852,2
"103047",1362.52142010957,524645,184852,2
"103048",1342.43935981648,524745,184852,2
"103049",864.327307816793,524845,184852,1
"103050",845.705397843317,524945,184852,1
"103051",848.152022382121,525045,184852,1
"103052",780.621127067133,525145,184852,1
"103053",1226.32066866406,525245,184852,2
"103054",1324.36471000389,525345,184852,2
"103055",1527.11450485992,525445,184852,2
"103056",1507.10625630891,525545,184852,2
"103057",1476.94291645046,525645,184852,2
"103058",1219.14209324738,525745,184852,2
"103059",1131.43373292735,525845,184852,2
"103060",863.929371606696,525945,184852,1
"103061",1127.61061749217,526045,184852,2
"103062",1082.4517818041,526145,184852,2
"103063",1656.58451515821,526245,184852,3
"103064",1210.07039851505,526345,184852,2
"103065",953.557454764448,526445,184852,1
"103066",1039.36074038661,526545,184852,2
"103067",794.760821976995,526645,184852,1
"103068",850.163502489431,526745,184852,1
"103069",944.349748761659,526845,184852,1
"103070",925.146975517321,526945,184852,1
"103071",904.617977464243,527045,184852,1
"103072",1438.08186973166,527145,184852,2
"103073",1364.89733240173,527245,184852,2
"103074",1406.52472258626,527345,184852,2
"103075",1380.95466546167,527445,184852,2
"103076",2107.1407393301,527545,184852,4
"103077",1708.07327393314,527645,184852,3
"103078",1334.81093298646,527745,184852,2
"103079",833.011636624539,527845,184852,1
"103080",964.691933833449,527945,184852,1
"103081",1077.01339545343,528045,184852,2
"103082",1050.87517001966,528145,184852,2
"103083",1157.25342736529,528245,184852,2
"103084",1166.17715365089,528345,184852,2
"103085",1173.92633153139,528445,184852,2
"103086",1044.56614566961,528545,184852,2
"103087",915.774294597635,528645,184852,1
"103088",1007.72055170541,528745,184852,2
"103089",1083.87790252324,528845,184852,2
"103090",1487.48092823709,528945,184852,2
"103091",1499.65546029027,529045,184852,2
"103092",1335.79404069069,529145,184852,2
"103093",1068.24125493022,529245,184852,2
"103094",1072.49335280237,529345,184852,2
"103095",979.723530702104,529445,184852,1
"103096",945.957563848948,529545,184852,1
"103097",2396.2455117041,529645,184852,4
"103098",2567.01605208517,529745,184852,4
"103099",1236.00400713085,529845,184852,2
"103100",1302.85518478502,529945,184852,2
"103595",984.543313305257,524445,184952,2
"103596",970.427345732622,524545,184952,1
"103597",935.712121391323,524645,184952,1
"103598",866.36773788293,524745,184952,1
"103599",864.239795899805,524845,184952,1
"103600",747.187386311391,524945,184952,1
"103601",781.683750617165,525045,184952,1
"103602",798.343873393154,525145,184952,1
"103603",853.423879717952,525245,184952,1
"103604",1288.94213985691,525345,184952,2
"103605",1392.7393065972,525445,184952,2
"103606",1396.62958136019,525545,184952,2
"103607",1389.01897817224,525645,184952,2
"103608",1169.76572655016,525745,184952,2
"103609",945.296889416579,525845,184952,1
"103610",963.943199205552,525945,184952,1
"103611",868.95276162637,526045,184952,1
"103612",1080.4238684132,526145,184952,2
"103613",1159.05601413938,526245,184952,2
"103614",1055.21903515416,526345,184952,2
"103615",925.339120627785,526445,184952,1
"103616",1161.0016793342,526545,184952,2
"103617",822.370121456685,526645,184952,1
"103618",754.590439426066,526745,184952,1
"103619",907.308576691991,526845,184952,1
"103620",1004.44880069437,526945,184952,2
"103621",1223.04370318768,527045,184952,2
"103622",1474.6474972244,527145,184952,2
"103623",1506.81739019224,527245,184952,2
"103624",1496.28865923911,527345,184952,2
"103625",1589.00219657146,527445,184952,3
"103626",2079.73232796676,527545,184952,3
"103627",925.012449883491,527645,184952,1
"103628",909.912135336018,527745,184952,1
"103629",911.854527616913,527845,184952,1
"103630",936.757603473349,527945,184952,1
"103631",1174.08631664377,528045,184952,2
"103632",1103.12367104969,528145,184952,2
"103633",1160.87651229656,528245,184952,2
"103634",1058.51105614421,528345,184952,2
"103635",1048.00882207294,528445,184952,2
"103636",965.500384561144,528545,184952,1
"103637",1018.58041827201,528645,184952,2
"103638",1054.40910289809,528745,184952,2
"103639",1263.85223895497,528845,184952,2
"103640",1524.75823698251,528945,184952,2
"103641",1886.2768932865,529045,184952,3
"103642",1360.02937091902,529145,184952,2
